title,artist,date_acquired,gender_list,artist_gender
"Ancient Ruins in the Cañon de Chelle, New Mexico. In a Niche Fifty Feet Above Present Cañon Bed",Timothy O'Sullivan,1941-01-16,(male),Male
Untitled #96,Cindy Sherman,1982-03-11,(female),Female
Jeanette,Wayne Miller,1964-01-07,(male),Male
Prague,Josef Sudek,1982-03-11,(male),Male
Distortion #34,André Kertész,1985-03-27,(male),Male
Untitled,Robert Doisneau,1967-03-07,(male),Male
"Collaborator, Chartres",Robert Capa,1959-04-22,(male),Male
Sound of One Hand,Minor White,1967-03-07,(male),Male
Edward Steichen,Gertrude Käsebier,1986-03-20,(female),Female
"Tulips, New York City",Robert Mapplethorpe,1978-02-09,(male),Male
Analysis of the Flight of a Pigeon by the Chronophotographic Method,Étienne-Jules Marey,1993-10-14,(male),Male
Untitled from the portfolio Souvenirs du Camp de Chalons,Gustave Le Gray,1991-10-25,(male),Male
Untitled,Henry Peach Robinson,1987-10-15,(male),Male
Cleaning the Drapes from the series Bringing the War Home: House Beautiful,Martha Rosler,1997-06-12,(female),Female
"Unity Athletic and Social Club, Inc.",James Van Der Zee,1993-10-14,(male),Male
Jenny Lind,Louis-Jacques-Mandé Daguerre,1954-01-12,(male),Male
Untitled (Facial Cosmetic Variations),Ana Mendieta,1997-12-11,(female),Female
Untitled from the series Rapture,Shirin Neshat,2000-12-07,(female),Female
"Black, Gray, White from the portfolio Art Pro Choice II",Jennifer Bartlett,1999-11-18,(female),Female
The Scream,Edvard Munch,1960-02-10,(male),Male
Charles de Lameth,Honoré Daumier,1934-09-23,(male),Male
Cure/Heal from 10: Artist as Catalyst,Lorna Simpson,1993-01-18,(female),Female
Thistles,Bernard Buffet,1954-04-06,(male),Male
"Plague (Pest) (plate 5) for the portfolio On Death, Part II, Opus XIII (Vom Tode, Zweiter Teil, Opus XIII)",Max Klinger,1955-04-06,(male),Male
Vegetable Market at Pontoise,Camille Pissarro,1956-03-19,(male),Male
Untitled,Richard Estes,1975-05-09,(male),Male
Portrait of a Peasant Woman (Bildnis einer Bäuerin),Paula Modersohn-Becker,1954-04-06,(female),Female
Anchor,Shahzia Sikander,2000-03-02,(female),Female
Night Scene,Neil Welliver,1994-01-25,(male),Male
Untitled,William T. Williams,1997-05-28,(male),Male
"Hope (L'espérance) from L'Estampe Moderne, Number 12",Pierre Puvis de Chavannes,1958-12-19,(male),Male
Honorary Degree,Grant Wood,1949-09-29,(male),Male
Red Mercedes from Documenta: The Super Realists,Don Eddy,1976-01-08,(male),Male
Lady Madonna,Audrey Flack,1976-01-08,(female),Female
The Scribe Huanta,José Sabogal,1969-05-22,(male),Male
Untitled,Miriam Schapiro,1963-10-08,(female),Female
Old Quebracho Tree (Viejo quebracho),Alfredo Guido,1942-12-29,(male),Male
Under the Horse-Chestnut Tree,Mary Cassatt,1940-04-05,(female),Female
Rythm Mastr,Kerry James Marshall,2000-11-09,(male),Male
Plate from TORONTO 20,William Ronald,1967-10-18,(male),Male
Self-Portrait with Cropped Hair,Frida Kahlo,1943-02-18,(female),Female
Christina's World,Andrew Wyeth,1949-02-03,(male),Male
Robbe-Grillet Cleansing Every Object in Sight,Mark Tansey,1982-10-12,(male),Male
Painting,Francis Bacon,1948-10-06,(male),Male
The Japanese Footbridge,Claude Monet,1956-05-08,(male),Male
Manchester Valley,Joseph Pickett,1939-08-24,(male),Male
"Shipbreaking #13, Chittagong, Bangladesh",Edward Burtynsky,2002-06-13,(male),Male
"Brushstrokes: January 19, 1992, no. 6",Hannah Wilke,2003-12-09,(female),Female
Study for the book God's Trombones by James Weldon Johnson,Aaron Douglas,2020-06-03,(male),Male
Christ Walking on the Water,Henry Ossawa Tanner,2019-04-04,(male),Male
"Lupe's Kitchen Window, San Leandro, CA",Joanne Leonard,2019-11-09,(female),Female
All Good Things (Version I),Kay WalkingStick,2022-06-06,(female),Female
